dir,survey,period,file,status,n_vars,concept,candidate_variables
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,household_id,vivienda|hogar
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,person_id,codperso
287_trim_ene_feb_mar2012,EPE,2012-01,Trim Ene-Feb-Mar2012.sav,ok,92,panel_rotation,
322_trim_ene_feb_mar13,EPE,2013-01,Trim Ene-Feb-Mar13.sav,ok,92,employment_indicator,ocu200
322_trim_ene_feb_mar13,EPE,2013-01,Trim Ene-Feb-Mar13.sav,ok,92,age,p208b1|p208b2|p208b3
322_trim_ene_feb_mar13,EPE,2013-01,Trim Ene-Feb-Mar13.sav,ok,92,sex,p207a|p207b
322_trim_ene_feb_mar13,EPE,2013-01,Trim Ene-Feb-Mar13.sav,ok,92,dependent_worker,
322_trim_ene_feb_mar13,EPE,2013-01,Trim Ene-Feb-Mar13.sav,ok,92,self_employment,
322_trim_ene_feb_mar13,EPE,2013-01,Trim Ene-Feb-Mar13.sav,ok,92,informality,
322_trim_ene_feb_mar13,EPE,2013-01,Trim Ene-Feb-Mar13.sav,ok,92,monthly_earnings,ingtot
322_trim_ene_feb_mar13,EPE,2013-01,Trim Ene-Feb-Mar13.sav,ok,92,hours,
322_trim_ene_feb_mar13,EPE,2013-01,Trim Ene-Feb-Mar13.sav,ok,92,weight,
